index,precise,id,toponym,n,name,display_name,address.state,address.region
E219,1,pogodin.ojidanie,Ленинград,5,Санкт-Петербург,"Санкт-Петербург, Северо-Западный федеральный округ, Россия",Санкт-Петербург,Северо-Западный федеральный округ
E7535,0,pogodin_radiy.ya_dogonyu_vas_na_nebesah,Пашин,1,Пашин,"Пашин, Холмогорский муниципальный округ, Архангельская область, Северо-Западный федеральный округ, Россия",Архангельская область,Северо-Западный федеральный округ
E233,1,pogodin_radiy.ya_dogonyu_vas_na_nebesah,Брест,1,Брест,"Брест, Финистер, Бретань, Метрополия Франции, 29200, Франция",Бретань,Метрополия Франции
E8595,1,politov.ya_poznayu_mir_100_mirovykh_shedevrov,Багдад,1,Багдад,"Багдад, بلدية المنطقة الخضراء, Багдад (мухафаза), Ирак",Багдад (мухафаза),NA
E11558,1,politov.ya_poznayu_mir_100_mirovykh_shedevrov,Детройт,1,Детройт,"Детройт, Wayne County, Мичиган, Соединённые Штаты Америки",Мичиган,NA
E5030,0,poluianov.odolen_trava,Ося,1,Греция,Греция,NA,NA
E3,1,pristavkin_anatolii.dyadya_tumba_magazin,Москва,1,Москва,"Москва, Центральный федеральный округ, Россия",Москва,Центральный федеральный округ
E2469,0,prokofieva_sofia.skazka_o_lenivoi_devochke_mashe,Руслан,1,Россия,Россия,NA,NA
E3,1,rekemchuk_aleksandr.malchiki,Москва,32,Москва,"Москва, Центральный федеральный округ, Россия",Москва,Центральный федеральный округ
E20,1,rekemchuk_aleksandr.malchiki,Россия,4,Россия,Россия,NA,NA
E2886,1,rekemchuk_aleksandr.malchiki,Конго,1,Демократическая Республика Конго,Демократическая Республика Конго,NA,NA
E1460,1,remez.chetverka_v_chetverti,Чили,1,Чили,Чили,NA,NA
E3293,1,skobelev_eduard.udivitelnye_priklucheniya_dyli,Гонконг,1,Гонконг,"Гонконг, Китай",Гонконг,NA
E2611,1,sladkov.miedviezhia_ghorka,Мельбурн,1,Мельбурн,"Мельбурн, City of Melbourne, Виктория, Австралия",Виктория,NA
E1762,1,sokolovskii.pervyi_osobogo_naznacheniya,Новгород,1,городской округ Великий Новгород,"городской округ Великий Новгород, Новгородская область, Северо-Западный федеральный округ, Россия",Новгородская область,Северо-Западный федеральный округ
E787,1,sokolovsky.dom_na_ulitce_ovrajnoy,Сергиевск,1,Сергиевск,"Сергиевск, сельское поселение Сергиевск, Сергиевский район, Самарская область, Приволжский федеральный округ, 446540, Россия",Самарская область,Приволжский федеральный округ
E7991,1,starzhinskiy.takoe_vzrosloe_detstvo,урал,1,Уральские горы,"Уральские горы, Берёзовский район, Ханты-Мансийский автономный округ — Югра, Уральский федеральный округ, Россия",Ханты-Мансийский автономный округ — Югра,Уральский федеральный округ
E2646,1,stepanov.rota_pochetnogo_karaula,Подольск,2,Подольск,"Подольск, городской округ Подольск, Московская область, Центральный федеральный округ, 142100, Россия",Московская область,Центральный федеральный округ
E344,1,strelkova.opyat_kiselyov,Харьков,1,Харьков,"Харьков, Харківська міська громада, Харьковский район, Харьковская область, Украина",Харьковская область,NA
E8061,0,sukhachev.deti_blokady,Рыбацкий,4,Рыбацкий,"Рыбацкий, Калязинский муниципальный округ, Тверская область, Центральный федеральный округ, Россия",Тверская область,Центральный федеральный округ
E1655,0,titarenko_evgeniy.nikodimovo_ozero,Южный,50,Южный,"Южный, Новая Зеландия",NA,NA
E3,1,tomin.karusieli_nad_ghorodom,Москва,6,Москва,"Москва, Центральный федеральный округ, Россия",Москва,Центральный федеральный округ
E160,1,tretiakov.andreika_i_lodyr_romashka,Одесса,1,Одесса,"Одесса, Одеська міська громада, Одесский район, Одесская область, Украина",Одесская область,NA
E5513,1,veltistov.glotok_solntsa_zapiski_proghrammista_marta_snieghova,Лимпопо,1,Лимпопо,"Лимпопо, Южная Африка",Лимпопо,NA
E8326,0,volf.horosha_li_dlya_vas_eta_pesnya_bez_slov,Стив,4,Стив,"Стив, Магарево, Општина Битола, Пелагонийский регион, Северная Македония",Пелагонийский регион,NA
E3,1,voskoboynikov.devochka_malchik_sobaka,Москва,3,Москва,"Москва, Центральный федеральный округ, Россия",Москва,Центральный федеральный округ
E3060,1,yakovlev.mishutkina_komandirovka,город Ярославль,1,Ярославль,"Ярославль, городской округ Ярославль, Ярославская область, Центральный федеральный округ, 150000, Россия",Ярославская область,Центральный федеральный округ
E107,1,yemtsev.uravneniye_s_blednogo_neptuna,Гамбург,1,Гамбург,"Гамбург, Германия",NA,NA
E5709,0,zuenok.pionery_geroi,Серебрянка,1,Серебрянск,"Серебрянск, Алтайский район, Восточно-Казахстанская область, 070825, Казахстан",Восточно-Казахстанская область,NA
